City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
152,qaqortoq,GL,2022-07-05 04:03:42,60.7167,-46.0333,45.25,88,98,5.91,overcast clouds,0.0,0
153,mount isa,AU,2022-07-05 04:03:42,-20.7333,139.5,65.97,42,0,12.66,clear sky,0.0,0
154,lagoa,PT,2022-07-05 04:03:43,39.05,-27.9833,63.36,72,100,11.63,overcast clouds,0.0,0
155,pangnirtung,CA,2022-07-05 04:03:43,66.1451,-65.7125,51.12,59,100,3.18,overcast clouds,0.0,0
156,bagdarin,RU,2022-07-05 04:03:44,54.4333,113.6,66.54,83,94,3.91,light rain,0.0,0
157,takoradi,GH,2022-07-05 04:03:44,4.8845,-1.7554,74.14,91,90,5.21,light rain,0.0,0
158,yumen,CN,2022-07-05 04:03:45,40.2833,97.2,88.79,10,0,8.39,clear sky,0.0,0
159,meulaboh,ID,2022-07-05 04:03:45,4.1363,96.1285,78.87,77,100,5.26,overcast clouds,0.0,0
160,amurzet,RU,2022-07-05 04:03:46,47.6967,131.0981,83.35,64,65,5.08,broken clouds,0.0,0
161,dalianwan,CN,2022-07-05 04:03:46,39.0286,121.695,82.44,74,40,11.18,scattered clouds,0.0,0
162,limbang,MY,2022-07-05 04:03:46,4.75,115.0,89.71,52,99,6.02,overcast clouds,0.0,0
163,fortuna,US,2022-07-05 04:03:47,40.5982,-124.1573,63.09,88,100,0.67,overcast clouds,0.0,0
164,pandan,PH,2022-07-05 04:03:47,14.0453,124.1694,84.02,74,100,6.78,overcast clouds,0.0,0
165,wawa,NG,2022-07-05 04:00:09,9.9022,4.4192,73.81,90,96,6.35,light rain,0.0,0
166,bogoslovka,RU,2022-07-05 04:03:48,53.2084,44.8013,59.11,74,32,6.24,scattered clouds,0.0,0
167,fredericksburg,US,2022-07-05 03:59:02,38.3032,-77.4605,72.32,80,0,0.0,clear sky,0.0,0
168,vila franca do campo,PT,2022-07-05 04:03:49,37.7167,-25.4333,67.19,79,93,4.9,overcast clouds,0.0,0
169,cabo san lucas,MX,2022-07-05 04:03:07,22.8909,-109.9124,88.9,64,1,12.77,clear sky,0.0,0
170,chumikan,RU,2022-07-05 04:03:49,54.7183,135.315,72.72,61,8,7.27,clear sky,0.0,0
171,cascais,PT,2022-07-05 04:03:49,38.6979,-9.4215,65.52,77,31,13.0,scattered clouds,0.0,0
172,salalah,OM,2022-07-05 04:03:50,17.0151,54.0924,78.89,94,100,6.91,light intensity drizzle,0.0,0
173,namanga,KE,2022-07-05 04:03:50,-2.5433,36.7905,54.75,92,16,5.77,few clouds,0.0,0
174,norman wells,CA,2022-07-05 04:03:51,65.282,-126.8329,78.21,32,8,11.95,clear sky,0.0,0
175,hobart,AU,2022-07-05 04:00:13,-42.8794,147.3294,59.22,66,20,6.91,few clouds,0.0,0
176,cayenne,GF,2022-07-05 04:00:07,4.9333,-52.3333,79.09,1,0,2.3,clear sky,0.0,0
177,zavetnoye,RU,2022-07-05 04:03:51,47.1194,43.8903,74.35,45,27,11.27,scattered clouds,0.0,0
178,wodonga,AU,2022-07-05 04:03:52,-36.1167,146.8833,60.28,100,0,2.82,clear sky,0.0,0
179,muroto,JP,2022-07-05 04:03:52,33.2833,134.15,79.07,90,87,12.73,overcast clouds,0.0,0
180,zagan,PL,2022-07-05 04:03:53,51.6176,15.3149,63.99,73,99,0.56,overcast clouds,0.0,0
181,port alfred,ZA,2022-07-05 04:03:53,-33.5906,26.891,56.17,93,76,1.01,broken clouds,0.0,0
182,hue,VN,2022-07-05 04:03:54,16.4667,107.6,96.91,44,20,3.44,few clouds,0.0,0
183,garmsar,IR,2022-07-05 04:03:54,35.2182,52.3409,76.73,37,0,1.86,clear sky,0.0,0
184,khorixas,NA,2022-07-05 04:03:55,-20.3667,14.9667,53.96,68,0,4.0,clear sky,0.0,0
185,skjervoy,NO,2022-07-05 04:03:55,70.0311,20.9714,62.6,75,100,15.68,overcast clouds,0.0,0
186,alto araguaia,BR,2022-07-05 04:03:56,-17.3147,-53.2153,60.66,39,12,3.6,few clouds,0.0,0
187,lazurne,UA,2022-07-05 04:03:56,46.084,32.5295,73.17,63,30,7.14,scattered clouds,0.0,0
188,zhanjiang,CN,2022-07-05 04:03:57,21.2815,110.3427,88.36,69,100,10.16,overcast clouds,0.0,0
189,general roca,AR,2022-07-05 04:03:58,-39.0333,-67.5833,46.62,44,26,12.93,scattered clouds,0.0,0
190,gazanjyk,TM,2022-07-05 04:03:58,39.2446,55.5154,73.0,45,0,3.0,clear sky,0.0,0
191,ohrid,MK,2022-07-05 04:03:59,41.1172,20.8019,60.69,88,0,2.3,clear sky,0.0,0
192,broome,US,2022-07-05 04:03:59,42.2506,-75.833,70.86,76,75,3.44,broken clouds,0.0,0
193,san patricio,US,2022-07-05 04:03:59,28.017,-97.5169,85.89,80,1,14.36,clear sky,0.0,0
194,peniche,PT,2022-07-05 04:04:00,39.3558,-9.3811,64.29,94,14,4.23,few clouds,0.0,0
195,longyearbyen,SJ,2022-07-05 04:04:00,78.2186,15.6401,40.84,100,75,5.75,light intensity drizzle rain,0.0,0
196,alice springs,AU,2022-07-05 04:04:01,-23.7,133.8833,54.95,33,0,9.22,clear sky,0.0,0
197,todos santos,MX,2022-07-05 04:04:01,23.45,-110.2167,74.66,77,4,7.34,clear sky,0.0,0
198,port elizabeth,ZA,2022-07-05 04:04:01,-33.918,25.5701,56.23,84,78,4.61,broken clouds,0.0,0
199,saldanha,ZA,2022-07-05 04:04:02,-33.0117,17.9442,55.15,81,0,10.65,clear sky,0.0,0
200,kunming,CN,2022-07-05 04:03:55,25.0389,102.7183,73.49,74,100,3.91,overcast clouds,0.0,0
201,pisco,PE,2022-07-05 04:04:03,-13.7,-76.2167,60.85,82,75,3.44,mist,0.0,0
202,piscu,RO,2022-07-05 04:04:03,45.5,27.7333,70.09,55,59,3.49,broken clouds,0.0,0
203,puerto carreno,CO,2022-07-05 03:59:11,6.189,-67.4859,75.24,92,57,3.58,heavy intensity rain,0.0,0
204,shenjiamen,CN,2022-07-05 04:04:04,29.9576,122.298,81.41,85,100,26.17,overcast clouds,0.0,0
205,bikaner,IN,2022-07-05 04:04:04,28.0167,73.3,94.3,49,8,0.31,clear sky,0.0,0
206,mehamn,NO,2022-07-05 04:04:05,71.0357,27.8492,51.75,93,40,2.3,scattered clouds,0.0,0
207,kisangani,CD,2022-07-05 04:04:06,0.5167,25.2,68.95,93,13,1.99,few clouds,0.0,0
208,hirara,JP,2022-07-05 04:04:06,24.8,125.2833,83.97,78,48,18.23,scattered clouds,0.0,0
209,columbia,US,2022-07-05 03:59:57,34.0007,-81.0348,75.7,95,0,0.0,mist,0.0,0
210,esperance,AU,2022-07-05 04:04:07,-33.8667,121.9,64.17,33,0,22.08,clear sky,0.0,0
211,bambanglipuro,ID,2022-07-05 04:04:07,-7.95,110.2833,86.45,67,47,5.1,scattered clouds,0.0,0
212,khamgaon,IN,2022-07-05 04:04:08,20.6833,76.5667,75.61,93,100,10.31,heavy intensity rain,0.0,0
213,bambous virieux,MU,2022-07-05 04:04:08,-20.3428,57.7575,71.22,75,97,16.55,light rain,0.0,0
214,new norfolk,AU,2022-07-05 04:04:09,-42.7826,147.0587,58.87,56,49,1.07,scattered clouds,0.0,0
215,kavieng,PG,2022-07-05 04:04:09,-2.5744,150.7967,84.02,75,100,12.03,light rain,0.0,0
216,lavrentiya,RU,2022-07-05 04:04:10,65.5833,-171.0,49.3,78,96,8.77,overcast clouds,0.0,0
217,victor harbor,AU,2022-07-05 04:04:10,-35.5667,138.6167,57.0,77,13,7.76,few clouds,0.0,0
218,eslov,SE,2022-07-05 04:04:11,55.8393,13.3039,60.26,90,66,9.31,broken clouds,0.0,0
219,takaka,NZ,2022-07-05 04:04:11,-40.85,172.8,51.57,91,100,4.61,light rain,0.0,0
220,sao filipe,CV,2022-07-05 04:04:11,14.8961,-24.4956,73.67,80,12,7.29,few clouds,0.0,0
221,uruguaiana,BR,2022-07-05 04:04:12,-29.7547,-57.0883,60.73,94,100,12.66,overcast clouds,0.0,0
222,vaitape,PF,2022-07-05 04:04:12,-16.5167,-151.75,79.0,74,39,9.33,light rain,0.0,0
223,nara,JP,2022-07-05 04:01:06,34.6851,135.8049,79.92,93,100,2.04,light rain,0.0,0
224,kampong thum,KH,2022-07-05 04:04:13,12.7111,104.8887,89.62,63,87,5.97,overcast clouds,0.0,0
225,hualmay,PE,2022-07-05 04:04:13,-11.0964,-77.6139,61.43,84,30,7.9,scattered clouds,0.0,0
226,richards bay,ZA,2022-07-05 04:04:14,-28.783,32.0377,60.03,92,11,4.14,few clouds,0.0,0
227,poya,NC,2022-07-05 04:04:14,-21.35,165.15,79.81,70,83,8.61,broken clouds,0.0,0
228,sao jose da coroa grande,BR,2022-07-05 04:04:15,-8.8978,-35.1478,74.08,85,24,11.41,few clouds,0.0,0
229,coburg,DE,2022-07-05 04:04:15,50.2667,10.9667,58.59,60,22,2.66,few clouds,0.0,0
230,stokmarknes,NO,2022-07-05 04:04:16,68.5646,14.9108,57.18,88,0,8.05,clear sky,0.0,0
231,saint george,US,2022-07-05 04:04:16,37.1041,-113.5841,90.19,11,0,6.91,clear sky,0.0,0
232,san quintin,MX,2022-07-05 04:04:17,30.4833,-115.95,63.99,82,16,12.95,few clouds,0.0,0
233,sitka,US,2022-07-05 04:04:17,57.0531,-135.33,64.29,72,0,9.22,clear sky,0.0,0
234,srivardhan,IN,2022-07-05 04:04:18,18.0333,73.0167,79.54,91,100,15.57,overcast clouds,0.0,0
235,huilong,CN,2022-07-05 04:04:19,31.8111,121.655,86.94,84,77,14.18,broken clouds,0.0,0
